быть;ser
иметь;ter
делать;fazer
говорить;falar
идти;ir
видеть;ver
знать;saber
мочь;poder
хотеть;querer
должен;dever
думать;pensar
брать;pegar
давать;dar
использовать;usar
находить;encontrar
сказать;dizer
получать;receber
работать;trabalhar
звонить;ligar
нравиться;gostar
любить;amar
жить;viver
играть;jogar
учиться;aprender
помогать;ajudar
начинать;começar
ждать;esperar
приходить;chegar
уходить;sair
есть;comer
пить;beber
спать;dormir
читать;ler
писать;escrever
открывать;abrir
закрывать;fechar
покупать;comprar
продавать;vender
платить;pagar
искать;procurar
слушать;ouvir
смотреть;olhar
чувствовать;sentir
понимать;entender
забывать;esquecer
помнить;lembrar
решать;decidir
готовить;cozinhar
путешествовать;viajar
учить;ensinar
изучать;estudar
работать;trabalhar
отдыхать;descansar
бегать;correr
плавать;nadar
петь;cantar
танцевать;dançar
рисовать;desenhar
фотографировать;fotografar
улыбаться;sorrir
смеяться;rir
плакать;chorar
кричать;gritar
шептать;sussurrar
обнимать;abraçar
целовать;beijar
ругаться;brigar
прощать;perdoar
благодарить;agradecer
просить;pedir
отвечать;responder
спрашивать;perguntar
объяснять;explicar
думать;pensar
верить;acreditar
сомневаться;duvidar
надеяться;esperar
мечтать;sonhar
планировать;planejar
создавать;criar
строить;construir
ломать;quebrar
чинить;consertar
чистить;limpar
мыть;lavar
гладить;passar
шить;costurar
вязать;tricotar
готовить;preparar
праздновать;comemorar
играть;brincar
выигрывать;ganhar
проигрывать;perder
начинать;iniciar
заканчивать;terminar
продолжать;continuar
останавливать;parar
ускорять;acelerar
замедлять;desacelerar
расти;crescer
уменьшаться;diminuir
увеличиваться;aumentar
менять;mudar
улучшать;melhorar
ухудшать;piorar
сравнивать;comparar
выбирать;escolher
решать;resolver
анализировать;analisar
исследовать;pesquisar
экспериментировать;experimentar
изобретать;inventar
открывать;descobrir
путешествовать;viajar
переезжать;mudar-se
посещать;visitar
возвращаться;retornar
оставаться;ficar
приглашать;convidar
праздновать;celebrar
поздравлять;parabenizar
дарить;presentear
получать;receber
отправлять;enviar
доставлять;entregar
собирать;coletar
разбирать;desmontar
организовывать;organizar
планировать;planejar
программировать;programar
кодировать;codificar
взламывать;hackear
защищать;proteger
атаковать;atacar
побеждать;vencer
проигрывать;perder
тренироваться;treinar
соревноваться;competir
рисковать;arriscar
инвестировать;investir
экономить;economizar
тратить;gastar
зарабатывать;ganhar
терять;perder
управлять;gerenciar
руководить;liderar
следовать;seguir
влиять;influenciar
вдохновлять;inspirar
мотивировать;motivar
поддерживать;apoiar
критиковать;criticar
хвалить;elogiar
осуждать;condenar
прощать;perdoar
извиняться;desculpar-se
обещать;prometer
выполнять;cumprir
нарушать;quebrar
уважать;respeitar
доверять;confiar
подозревать;suspeitar
лгать;mentir
обманывать;enganar
признаваться;confessar
скрывать;esconder
раскрывать;revelar
расследовать;investigar
допрашивать;interrogar
судить;julgar
наказывать;punir
награждать;recompensar
спасать;salvar
защищать;defender
атаковать;atacar
сражаться;lutar
побеждать;vencer
проигрывать;perder
сдаваться;render-se
выживать;sobreviver
умирать;morrer
рождаться;nascer
расти;crescer
стареть;envelhecer
болеть;adoecer
выздоравливать;recuperar-se
лечить;curar
оперировать;operar
диагностировать;diagnosticar
прописывать;prescrever
вакцинировать;vacinar
заражать;infectar
распространять;espalhar
предотвращать;prevenir
избегать;evitar
рисковать;arriscar
экспериментировать;experimentar
исследовать;pesquisar
открывать;descobrir
изобретать;inventar
патентовать;patentear
публиковать;publicar
рекламировать;anunciar
продвигать;promover
продавать;vender
покупать;comprar
торговаться;negociar
договариваться;acordar
подписывать;assinar
расторгать;rescindir
нарушать;violar
соблюдать;cumprir
регулировать;regular
контролировать;controlar
проверять;verificar
тестировать;testar
оценивать;avaliar
измерять;medir
взвешивать;pesar
считать;contar
умножать;multiplicar
делить;dividir
вычитать;subtrair
складывать;adicionar
рассчитывать;calcular
прогнозировать;prever
предсказывать;predizer
догадываться;adivinhar
человек;pessoa
время;tempo
жизнь;vida
день;dia
год;ano
работа;trabalho
дом;casa
семья;família
друг;amigo
ребенок;criança
мужчина;homem
женщина;mulher
город;cidade
страна;país
мир;mundo
деньги;dinheiro
бизнес;negócio
компания;empresa
школа;escola
университет;universidade
больница;hospital
ресторан;restaurante
магазин;loja
банк;banco
офис;escritório
завод;fábrica
здание;edifício
дорога;estrada
машина;carro
автобус;ônibus
поезд;trem
самолет;avião
корабль;navio
телефон;telefone
компьютер;computador
интернет;internet
телевизор;televisão
радио;rádio
книга;livro
газета;jornal
журнал;revista
фильм;filme
музыка;música
искусство;arte
спорт;esporte
игра;jogo
еда;comida
вода;água
хлеб;pão
мясо;carne
рыба;peixe
фрукт;fruta
овощ;legume
молоко;leite
кофе;café
чай;chá
пиво;cerveja
вино;vinho
сок;suco
рис;arroz
картофель;batata
курица;frango
яйцо;ovo
сыр;queijo
масло;manteiga
соль;sal
сахар;açúcar
конфета;doce
шоколад;chocolate
мороженое;sorvete
торт;bolo
суп;sopa
салат;salada
бутерброд;sanduíche
пицца;pizza
рис;arroz
макароны;macarrão
каша;mingau
йогурт;iogurte
фрукт;fruta
яблоко;maçã
банан;banana
апельсин;laranja
лимон;limão
виноград;uva
клубника;morango
персик;pêssego
абрикос;damasco
слива;ameixa
груша;pera
ананас;abacaxi
манго;manga
киви;kiwi
овощ;legume
помидор;tomate
огурец;pepino
морковь;cenoura
лук;cebola
чеснок;alho
картофель;batata
капуста;repolho
тыква;abóbora
баклажан;berinjela
перец;pimenta
гриб;cogumelo
орех;noz
семечки;semente
зерно;grão
мука;farinha
крупа;cereal
специя;tempero
соус;molho
масло;óleo
уксус;vinagre
горчица;mostarda
кетчуп;ketchup
майонез;maionese
сметана;creme azedo
творог;requeijão
колбаса;linguiça
ветчина;presunto
сосиска;salsicha
котлета;hambúrguer
стейк;bife
голова;cabeça
волосы;cabelo
лицо;rosto
глаз;olho
нос;nariz
рот;boca
ухо;orelha
шея;pescoço
плечо;ombro
рука;braço
палец;dedo
нога;perna
колено;joelho
ступня;pé
спина;costas
живот;barriga
грудь;peito
сердце;coração
легкие;pulmão
печень;fígado
почка;rim
кость;osso
кожа;pele
кровь;sangue
мозг;cérebro
нерв;nervo
мышца;músculo
одежда;roupa
обувь;calçado
рубашка;camisa
брюки;calça
юбка;saia
платье;vestido
куртка;jaqueta
пальто;casaco
свитер;suéter
футболка;camiseta
шорты;shorts
носки;meias
нижнее белье;roupa íntima
пижама;pijama
купальник;maiô
шапка;gorro
шляпа;chapéu
перчатки;luvas
шарф;cachecol
галстук;gravata
ремень;cinto
сумка;bolsa
кошелек;carteira
очки;óculos
часы;relógio
украшение;joia
кольцо;anel
серьги;brincos
ожерелье;colar
браслет;pulseira
расческа;pente
зубная щетка;escova de dentes
зубная паста;pasta de dente
мыло;sabão
шампунь;xampu
полотенце;toalha
косметика;cosmético
духи;perfume
дезодорант;desodorante
крем;creme
помада;batom
лак для ногтей;esmalte
мебель;móveis
стол;mesa
стул;cadeira
кровать;cama
диван;sofá
кресло;poltrona
шкаф;armário
полка;prateleira
зеркало;espelho
ковер;tapete
занавеска;cortina
лампа;lâmpada
телевизор;televisão
холодильник;geladeira
плита;fogão
микроволновка;micro-ondas
посудомоечная машина;lava-louças
стиральная машина;máquina de lavar
утюг;ferro de passar
пылесос;aspirador
фен;secador de cabelo
кондиционер;ar condicionado
вентилятор;ventilador
радиатор;aquecedor
электричество;eletricidade
газ;gás
вода;água
мусор;lixo
переработка;reciclagem
природа;natureza
животное;animal
растение;planta
дерево;árvore
цветок;flor
трава;grama
лес;floresta
гора;montanha
река;rio
озеро;lago
море;mar
океан;oceano
пляж;praia
остров;ilha
пустыня;deserto
небо;céu
солнце;sol
луна;lua
звезда;estrela
облако;nuvem
дождь;chuva
снег;neve
ветер;vento
буря;tempestade
радуга;arco-íris
температура;temperatura
климат;clima
сезон;estação
весна;primavera
лето;verão
осень;outono
зима;inverno
огонь;fogo
дым;fumaça
пепел;cinza
лед;gelo
пар;vapor
туман;neblina
собака;cachorro
кошка;gato
корова;vaca
лошадь;cavalo
свинья;porco
овца;ovelha
коза;cabra
курица;galinha
утка;pato
гусь;ganso
индейка;peru
кролик;coelho
мышь;rato
крыса;rato
хомяк;hamster
черепаха;tartaruga
змея;cobra
